,Arrival_Date,Modal_x0020_Price
700648,2002-01-10,7500.0
700649,2002-01-16,7500.0
700650,2002-01-18,7500.0
700464,2002-04-02,650.0
700465,2002-04-03,750.0
700466,2002-04-04,800.0
700467,2002-04-05,800.0
700468,2002-04-15,850.0
700469,2002-04-16,850.0
700470,2002-04-18,750.0
700471,2002-04-20,850.0
700472,2002-04-23,800.0
700473,2002-04-24,800.0
700474,2002-04-26,900.0
700475,2002-04-27,900.0
700476,2002-05-02,850.0
700477,2002-05-03,850.0
700478,2002-05-06,800.0
700479,2002-05-07,750.0
700480,2002-05-08,650.0
700481,2002-05-09,650.0
700482,2002-05-10,650.0
700483,2002-05-13,600.0
700484,2002-05-15,700.0
700485,2002-05-16,700.0
700486,2002-05-17,650.0
700487,2002-05-18,700.0
700488,2002-05-20,700.0
700489,2002-05-22,700.0
700490,2002-05-23,800.0
700491,2002-05-24,700.0
700492,2002-05-27,800.0
700493,2002-05-28,800.0
700494,2002-05-29,800.0
700495,2002-05-30,900.0
700496,2002-05-31,850.0
700497,2002-06-01,900.0
700498,2002-06-03,800.0
700499,2002-06-04,900.0
700500,2002-06-05,900.0
700501,2002-06-06,900.0
700502,2002-06-07,900.0
700503,2002-06-10,900.0
700504,2002-06-11,800.0
700505,2002-06-13,900.0
700506,2002-06-14,800.0
700507,2002-06-15,900.0
700508,2002-06-17,800.0
700509,2002-06-18,800.0
700510,2002-06-19,800.0
700511,2002-06-20,800.0
700512,2002-06-21,800.0
700513,2002-06-22,800.0
700514,2002-06-24,900.0
700515,2002-06-25,900.0
700516,2002-06-26,900.0
700517,2002-06-27,1000.0
700518,2002-06-28,1000.0
700519,2002-06-29,900.0
700520,2002-07-01,900.0
700521,2002-07-02,900.0
700522,2002-07-03,1000.0
700523,2002-07-04,1000.0
700524,2002-07-05,1000.0
700525,2002-07-06,1000.0
700526,2002-07-08,1000.0
700527,2002-07-09,1000.0
700528,2002-07-10,1000.0
700529,2002-07-11,1000.0
700530,2002-07-12,950.0
700531,2002-07-15,1000.0
700532,2002-07-16,1000.0
700533,2002-07-17,1000.0
700534,2002-07-18,1000.0
700535,2002-07-19,1000.0
700536,2002-07-20,1000.0
700537,2002-07-22,1000.0
700538,2002-07-23,1000.0
700539,2002-07-24,1000.0
700540,2002-07-25,1000.0
700541,2002-07-26,1000.0
700542,2002-07-27,1000.0
700543,2002-07-29,1000.0
700544,2002-07-30,1000.0
700545,2002-07-31,1000.0
700546,2002-08-01,1100.0
700547,2002-08-02,1100.0
700548,2002-08-03,1100.0
700549,2002-08-05,1100.0
700550,2002-08-06,1100.0
700551,2002-08-08,1100.0
700552,2002-08-09,1100.0
700553,2002-08-12,1100.0
700554,2002-08-13,1000.0
700555,2002-08-14,1100.0
700556,2002-08-16,1100.0
700557,2002-08-17,1100.0
700558,2002-08-19,1100.0
700559,2002-08-20,1100.0
700560,2002-08-21,1100.0
700561,2002-08-22,1100.0
700562,2002-08-23,1100.0
700563,2002-08-24,1100.0
700564,2002-08-26,1100.0
700565,2002-08-27,1100.0
700566,2002-08-28,1200.0
700567,2002-08-29,1100.0
700568,2002-08-31,1100.0
700569,2002-09-02,1100.0
700570,2002-09-03,1100.0
700571,2002-09-04,1100.0
700572,2002-09-05,1100.0
700573,2002-09-06,1200.0
700574,2002-09-07,1200.0
700575,2002-09-09,1200.0
700576,2002-09-11,1200.0
700577,2002-09-13,1200.0
700578,2002-09-16,1200.0
700579,2002-09-17,1300.0
700580,2002-09-18,1200.0
700581,2002-09-19,1300.0
700582,2002-09-20,1400.0
700583,2002-09-21,1200.0
700584,2002-09-23,1200.0
700585,2002-09-24,1200.0
700586,2002-09-25,1300.0
700587,2002-09-26,1300.0
700588,2002-09-27,1300.0
700589,2002-09-28,1200.0
700590,2002-09-30,1200.0
700591,2002-10-01,1200.0
700592,2002-10-03,1300.0
700593,2002-10-04,1400.0
700594,2002-10-05,1400.0
700595,2002-10-08,1400.0
700596,2002-10-09,1400.0
700597,2002-10-10,1400.0
700598,2002-10-11,1400.0
700599,2002-10-16,1400.0
700600,2002-10-25,1300.0
700601,2002-10-26,1300.0
700602,2002-10-28,1300.0
700603,2002-10-29,1300.0
700604,2002-10-30,1300.0
700605,2002-10-31,1200.0
700606,2002-11-02,1300.0
700607,2002-11-04,1300.0
700608,2002-11-06,1200.0
700609,2002-11-07,1300.0
700610,2002-11-08,1300.0
700611,2002-11-11,1300.0
700612,2002-11-12,1200.0
700613,2002-11-13,1300.0
700614,2002-11-14,1300.0
700615,2002-11-15,1300.0
700616,2002-11-16,1300.0
700617,2002-11-18,1300.0
700618,2002-11-19,1200.0
700619,2002-11-20,1200.0
700620,2002-11-21,1300.0
700621,2002-11-22,1300.0
700622,2002-11-23,1300.0
700623,2002-11-25,1300.0
700624,2002-11-26,1300.0
700625,2002-11-27,1300.0
700626,2002-11-28,1200.0
700627,2002-11-29,1300.0
700628,2002-11-30,1200.0
700629,2002-12-02,1300.0
700630,2002-12-03,1300.0
700631,2002-12-04,1300.0
700632,2002-12-05,1200.0
700633,2002-12-07,1300.0
700634,2002-12-11,1200.0
700635,2002-12-13,1200.0
700636,2002-12-16,1200.0
700637,2002-12-18,1200.0
700638,2002-12-19,1100.0
700639,2002-12-20,1200.0
700640,2002-12-21,1100.0
700641,2002-12-23,1100.0
700642,2002-12-24,900.0
700643,2002-12-26,1000.0
700644,2002-12-27,900.0
700645,2002-12-28,900.0
700646,2002-12-30,900.0
700647,2002-12-31,900.0
497766,2003-01-01,900.0
497767,2003-01-02,900.0
497768,2003-01-03,1000.0
497769,2003-01-04,900.0
497770,2003-01-06,900.0
497771,2003-01-07,1000.0
497772,2003-01-08,1000.0
497773,2003-01-09,900.0
497774,2003-01-10,900.0
497775,2003-01-13,900.0
497776,2003-01-14,1000.0
497777,2003-01-16,1000.0
497778,2003-01-17,1000.0
497779,2003-01-18,1000.0
497780,2003-01-20,1000.0
497781,2003-01-21,1000.0
497782,2003-01-22,1000.0
497783,2003-01-23,1100.0
497784,2003-01-24,1000.0
497785,2003-01-27,1000.0
497786,2003-01-28,1000.0
497787,2003-01-29,1000.0
497788,2003-01-30,1000.0
497789,2003-01-31,1000.0
497790,2003-02-01,1000.0
497791,2003-02-03,1000.0
497792,2003-02-04,1200.0
497793,2003-02-05,1300.0
497794,2003-02-06,1200.0
497795,2003-02-07,1200.0
497796,2003-02-10,1200.0
497797,2003-02-11,1200.0
497798,2003-02-13,1200.0
497799,2003-02-14,1200.0
497800,2003-02-15,1200.0
497801,2003-02-17,1200.0
497802,2003-02-18,1200.0
497803,2003-02-19,1200.0
497804,2003-02-20,1200.0
497805,2003-02-21,1200.0
497806,2003-02-22,1200.0
497807,2003-02-24,1200.0
497808,2003-02-25,1200.0
497809,2003-02-26,1200.0
497810,2003-02-27,1200.0
497811,2003-02-28,1100.0
497812,2003-03-03,1200.0
497813,2003-03-04,1200.0
497814,2003-03-05,1200.0
497815,2003-03-06,1200.0
497816,2003-03-07,1200.0
497817,2003-03-10,1200.0
497818,2003-03-11,1200.0
497819,2003-03-12,1200.0
497820,2003-03-13,1200.0
497821,2003-03-15,1200.0
497822,2003-03-17,1200.0
497823,2003-03-18,1200.0
497824,2003-03-19,1200.0
497825,2003-03-20,1200.0
497826,2003-03-21,1100.0
497827,2003-03-22,1100.0
497828,2003-03-24,1100.0
497829,2003-03-25,1200.0
497830,2003-03-26,1200.0
497831,2003-03-27,1100.0
497832,2003-03-28,1200.0
497833,2003-03-29,1100.0
497834,2003-03-31,1100.0
497835,2003-04-01,1200.0
497836,2003-04-03,1200.0
497837,2003-04-04,1200.0
497838,2003-04-05,1200.0
497839,2003-04-07,1200.0
497840,2003-04-08,1200.0
497841,2003-04-09,1300.0
497842,2003-04-10,1300.0
497843,2003-04-11,1300.0
497844,2003-04-16,1500.0
497845,2003-04-17,1500.0
497846,2003-04-19,1300.0
497847,2003-04-21,1200.0
497848,2003-04-22,1200.0
497849,2003-04-23,1200.0
497850,2003-04-24,1200.0
497851,2003-04-25,1200.0
497852,2003-04-26,1200.0
497853,2003-04-28,1100.0
497854,2003-04-29,1100.0
497855,2003-04-30,1000.0
497856,2003-05-02,1100.0
497857,2003-05-03,1000.0
497858,2003-05-05,1000.0
497859,2003-05-06,1000.0
497860,2003-05-07,1000.0
497861,2003-05-08,900.0
497862,2003-05-09,1100.0
497863,2003-05-12,1200.0
497864,2003-05-13,1200.0
497865,2003-05-14,1300.0
497866,2003-05-16,1300.0
497867,2003-05-17,1300.0
497868,2003-05-19,1300.0
497869,2003-05-20,1300.0
497870,2003-05-21,1000.0
497871,2003-05-22,1000.0
497872,2003-05-23,1000.0
497873,2003-05-24,1000.0
497874,2003-05-26,1200.0
497875,2003-05-27,1000.0
497876,2003-05-28,1000.0
497877,2003-05-29,1000.0
497878,2003-05-30,1100.0
497879,2003-05-31,1100.0
497880,2003-06-02,1200.0
497881,2003-06-03,1100.0
497882,2003-06-04,1200.0
497883,2003-06-05,1200.0
497884,2003-06-06,1200.0
497885,2003-06-07,1200.0
497886,2003-06-09,1200.0
497887,2003-06-10,1300.0
497888,2003-06-11,1200.0
497889,2003-06-12,1300.0
497890,2003-06-13,1300.0
497891,2003-06-16,1300.0
497892,2003-06-17,1125.0
497893,2003-06-18,1300.0
497894,2003-06-19,1300.0
497895,2003-06-20,1300.0
497896,2003-06-21,1300.0
497897,2003-06-23,1300.0
497898,2003-06-24,1300.0
497899,2003-06-25,1300.0
497900,2003-06-26,1300.0
497901,2003-06-27,1300.0
497902,2003-06-28,1200.0
497903,2003-06-30,1200.0
497904,2003-07-01,1200.0
497905,2003-07-02,1300.0
497906,2003-07-03,1300.0
497907,2003-07-04,1300.0
497908,2003-07-05,1300.0
497909,2003-07-07,1300.0
497910,2003-07-08,1300.0
497911,2003-07-09,1300.0
